Smiles,pIC50
Cn1c(=O)cc2c3c(c(N)ccc31)C(=O)c1ccccc1-2,6.19
Cc1cccc(NC2=C(N)C(=O)c3ccccc3C2=O)c1,6.1
Cc1ccc2c(N)cc(-c3ccccc3)nc2n1,6.38
COc1cccc(-n2c(=O)n(C)c3cnc(NC4CC4)nc32)c1,5.58
CCCCc1nc2[nH]cnc2c2nc(-c3ccc(OC)cc3)nn12,5.8
OC1CS[C@@H](n2cnc3c(NCc4cccc(Cl)c4)ncnc32)[C@H]1O,6.36
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccccc4F)cc3)c(Cl)c2n(CCC)c1=O,6.14
COc1ccc(-n2nc3c(N)nc4ccccc4n3c2=O)cc1,6.42
Nc1nc2ccc(Cl)cc2c2cn(-c3ccccc3)nc12,5.24
CONc1nc(C#Cc2ccc(F)cc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.4
Oc1c(-c2ccsc2)nnc2nc3ccccc3n12,5.3
Cc1cccc(-n2cc3c(n2)c(NC2CCCC2)nc2ccccc23)c1,5.92
CCCn1c(=O)c2nc(-c3cnn(Cc4nc(-c5ccccc5)no4)c3)[nH]c2n(CCC)c1=O,5.96
COCCn1c(=O)c2c(nc(Cc3ccccc3)n2C)n(Cc2ccco2)c1=O,6.04
CSc1nc2nc3c(c(O)n2n1)CN(Cc1ccccc1)CC3,6.15
CCCn1c(=O)c2nc(-c3ccc(OCc4noc(-c5ccccc5OC)n4)cc3)[nH]c2n(CCC)c1=O,5.53
CCCCc1nc2[nH]cnc2c2nc(-c3ccc(OC)cc3)nn12,5.8
Cc1ccc2c(N=[N+]=[N-])c(Cc3ccccc3)cnc2n1,5.47
Oc1c(-c2ccsc2)nnc2nc3ccccc3n12,5.3
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C#N)cc4)cc3)nc2n(CCC)c1=O,6.3
Cc1nc(NC(=O)c2ccccc2)c2nc(-c3ccccc3)sc2n1,5.71
Nc1nc(NC(=O)/C=C/c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.39
CCCn1c(=O)n(CC)c(=O)c2c1ncn2C,5.12
COCCn1c(=O)c2c(nc(Cc3cccs3)n2C)n(Cc2ccco2)c1=O,6.16
Cn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccccc4)nc23)n1,6.11
CCCn1c(=O)c2[nH]c(-c3cnn(Cc4cccc(F)c4)c3)nc2n(CC)c1=O,5.6
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)[C@H](O)[C@@H]1O,6.4
Cc1cccc(-n2cc3c(n2)c(NC2CCCC2)nc2ccccc23)c1,5.92
CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCC)c1=O,6.47
COc1ccc(NC(=O)Nc2nc3nn(CCc4c(Br)cc(Br)cc4Br)cc3c3nc(-c4ccco4)nn23)cc1,5.69
CCCn1c(=O)c2nc(-c3ccc(OCc4noc(-c5ccccc5OC)n4)cc3)[nH]c2n(CCC)c1=O,5.53
CCCn1c(=O)c2[nH]c(-c3cnn(Cc4cccc(F)c4)c3)nc2n(CC)c1=O,5.6
CCn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,5.98
C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,5.22
COc1ccc(-n2nc3c(N)nc4ccccc4n3c2=O)cc1,6.42
OC(c1ccccc1)c1nc(C(F)(F)F)nc2ccccc12,5.19
CCNc1ncc(C(=O)O)c2nc(-c3ccco3)nn12,5.43
CNC(=O)c1nc(NCc2cccnc2)nc2ccsc12,5.15
Oc1nc2ccc(Cl)cc2n2nc(-c3cccs3)nc12,5.18
Nc1nc(C#Cc2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,6.44
CCCn1cc2c(nc(NC(=O)Nc3ccc4c(c3)OCO4)n3nc(-c4ccco4)nc23)n1,6.18
O=C(Nc1nc2ccccc2n2c(=O)c(-c3ccccc3)nn12)c1ccccc1,5.99
CSc1nc2nc3c(c(O)n2n1)CN(Cc1ccccc1)CC3,6.15
O=C(Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccccc3)nn12)c1ccccc1,6.02
Nc1ccc2c(O)c(C(=O)NCc3ccc(Cl)cc3)cnc2n1,6.27
Nc1nc(C#Cc2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,6.44
CCCCc1nc2[nH]ncc2c2nc(-c3cccc(Cl)c3)nn12,6.12
O=C(Nc1nc2ccccc2n2c(=O)c(-c3ccccc3)nn12)c1ccccc1,5.99
OC[C@H]1O[C@@H](n2cnc3c(N[C@@H]4CCSC4)ncnc32)[C@H](O)[C@@H]1O,5.01
Nc1ncnc2c1nc(Br)n2CCO,6.21
c1ccc(Nc2nc3c(N4CCCC4)ncnc3s2)cc1,6.46
CC(=O)Nc1nc(-c2ccccc2)nc2nc(-c3ccccc3)cn12,5.5
CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCC)c1=O,6.47
CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCC)c1=O,6.47
CONc1nc(C#Cc2ccc(CC#N)cc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.51
CCCn1c(=O)[nH]c(=O)c2c1ncn2CC,5.08
S/C(Cc1ccccc1)=N\N=C\c1cnc2ccccc2c1,5.7
Fc1cccc(F)c1Nc1nc2c(Cl)ncnc2s1,5.09
CCCCc1nc2[nH]cnc2c2nc(-c3ccc(OC)cc3)nn12,5.8
COc1ccc(NC(=O)Nc2nc3n[nH]cc3c3nc(-c4ccco4)nn23)cc1,6.28
COc1cc(NC(=O)c2ccc(-c3ccc(Cl)cc3)o2)cc(OC)c1,5.0
Cl.NC(N)=NC(=O)c1nc(Cl)c(NCCc2ccc3c(c2)OCO3)nc1N,5.25
CCCCc1nc2[nH]cnc2c2nc(-c3ccc(OC)cc3)nn12,5.8
Cn1c(=O)c2c(cc(/C=C/c3ccccc3O)n2C)n(C)c1=O,5.94
Nc1cccc2c1nc(NC(=O)c1ccccc1)c1nn(-c3ccccc3)c(=O)n12,5.31
CCCn1c(=O)c2nc(-c3cnn(Cc4cccc(Cl)c4F)c3)[nH]c2n(CCC)c1=O,6.06
Nc1nc(-c2cccc(CO)c2)cc2nn(Cc3ccccc3)c(=O)n12,5.77
CCOC(=O)COc1ccc(-c2cc3c([nH]2)c(=O)n(C)c(=O)n3CCCOC)cc1,5.73
Cn1c(=O)c2nc[nH]c2n(C)c1=O,5.17
COc1ccc(NC(=O)Nc2nc3n[nH]cc3c3nc(-c4ccco4)nn23)cc1,6.28
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NNC(=O)c4ccco4)ncnc32)[C@H](O)[C@@H]1O,5.81
O=C(O)/C=C/c1ccc(-c2nc3c(=O)n(CC4CCCCC4)c(=O)n(CC4CCCCC4)c3[nH]2)cc1,5.82
Cn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccccc4)nc23)n1,6.11
CCCCc1nc2[nH]cnc2c2nc(-c3ccc(OC)cc3)nn12,5.8
Clc1ccc2nc(NC3CCCCC3)c3nn(-c4ccccc4)cc3c2c1,5.38
CCCn1c(=O)c2nc(-c3cnn(CCc4ccccc4)c3)[nH]c2n(CCC)c1=O,6.24
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)[C@H](O)[C@@H]1O,5.27
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C#N)cc4)cc3)nc2n(CCC)c1=O,6.3
O[C@@H]1[C@H](O)[C@@H]2C[C@@H]2[C@H]1n1cnc2c(NCc3cccc(I)c3)nc(Cl)nc21,5.97
Nc1nc(NC(=O)/C=C/c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.39
Nc1nc(-c2cnn(CCC3CCCCC3)c2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.46
Cc1cccc(NC2=C(N)C(=O)c3ccccc3C2=O)c1,6.1
Cl.Cn1cc2c(nc(NC(=O)Nc3cccnc3)n3nc(-c4ccco4)nc23)n1,6.81
CC(C)(C)n1cc2c(nc(N)n3nc(-c4ccco4)nc23)n1,7.35
CCOC(=O)c1cnc(NCCOC)n2nc(-c3ccco3)nc12,6.54
Nc1nc2ccc(Cl)cc2n2c(=O)c(-c3ccc(Cl)cc3)nn12,7.17
CCCCn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccco4)nc23)n1,6.83
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(CC(=O)OCC)cc4)cc3)cc2n(CCC)c1=O,6.62
Nc1nc2ccc(Cl)cc2n2c(=O)c(-c3ccc(Cl)cc3)nn12,7.17
CCCCCc1nc2[nH]cnc2c2nc(-c3ccccc3)nn12,6.7
CCCCn1cc2c(nc(NC(=O)Nc3cccc(Cl)c3)n3nc(-c4ccco4)nc23)n1,7.02
CCCn1c(=O)c2nc[nH]c2n(CCC)c1=O,7.3
Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12,7.09
CCCn1c(=O)c2nc[nH]c2n(CCC)c1=O,7.3
CC(C)(C)CC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,7.44
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(CC(=O)OCC)cc4)cc3)cc2n(CCC)c1=O,6.62
CNC(=O)[C@H]1S[C@@H](n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)[C@H](O)[C@@H]1O,6.65
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(NC(C)=O)cc4)cc3)cc2n(CCC)c1=O,7.2
CC(=O)Nc1cc(-c2cncc(O)c2)nc(-n2nc(C)cc2C)n1,7.19
