Smiles,pIC50
Cn1nc(-c2ccc(N=[N+]=[N-])cc2)nc1-c1cccc(CN2CC=CC2)c1,6.4
COc1cc(NC(=O)c2ccc(-c3ccc(Cl)cc3)o2)cc(OC)c1,5.0
Cc1cccc(NC2=C(N)C(=O)c3ccccc3C2=O)c1,6.1
Cc1ccc2c(N=[N+]=[N-])c(Cc3ccccc3)cnc2n1,5.47
Cc1ccc2c(N=[N+]=[N-])c(Cc3ccccc3)cnc2n1,5.27
Cc1ccc2c(O)cc(-c3ccccc3)nc2n1,6.26
Cc1ccc2c(O)cc(-c3ccccc3)nc2n1,6.34
Cc1ccc2c(O)cc(-c3ccccc3)nc2n1,6.34
COc1ccc(N)c2c1C(=O)c1ccccc1C2=O,6.28
COc1ccc2c(CCNC(=N)Nc3nc(C)cc(C)n3)c[nH]c2c1,6.22
COc1ccc2c(O)cc(-c3ccccc3)nc2n1,5.85
COc1ccc2c(O)cc(-c3ccccc3)nc2n1,6.31
COc1ccc2c(O)cc(-c3ccccc3)nc2n1,5.85
O=c1oc2c(O)cccc2cc1-c1cccs1,5.13
Clc1ccc(Nc2nc3c(Cl)ncnc3s2)cc1,5.57
CC[C@@H](Oc1ccccc1)C(=O)Nc1nc(-c2ccccc2)n[nH]1,5.85
Cc1ccc2c(N)cc(-c3ccccc3)nc2n1,6.38
Cc1ccc2c(N)cc(-c3ccccc3)nc2n1,6.38
Cc1cccc(O[C@H](C)C(=O)Nc2nc(-c3ccccc3)n[nH]2)c1,5.92
Cc1ccc(Nc2nc3c(Cl)ncnc3s2)cc1,5.31
Nc1nc(C(=O)NCc2ccncc2)nc(-c2ccco2)n1,6.38
C[C@@H](Oc1cccc(Cl)c1)C(=O)Nc1nc(-c2ccccc2)n[nH]1,6.0
c1cc(CN2CCCC2)cc(-c2n[nH]c(-c3ccc4c(c3)OCCO4)n2)c1,6.0
OC(c1ccccc1)c1nc(C(F)(F)F)nc2ccccc12,5.19
Nc1cc(-c2ccc3c(c2)OCO3)nc(-c2ccccc2)n1,6.25
CCCn1cnc2c(N)ncnc21,5.02
CCCn1cnc2c(N)ncnc21,5.02
COc1ccc(-c2cc(=O)[nH]c(Nc3ccccc3)n2)cc1OC,5.44
Cc1cccc(-c2n[nH]c(NC(=O)[C@@H](C)Oc3ccccc3)n2)c1,5.75
Cc1cccc(-c2n[nH]c(NC(=O)C(C)Oc3ccccc3)n2)c1,5.7
Nc1c(C(=O)c2ccccc2)oc2ccc(Br)cc12,5.66
Clc1ncnc2sc(Nc3cccc(Br)c3)nc12,5.53
C[C@@H](Oc1ccccc1F)C(=O)Nc1nc(-c2ccccc2)n[nH]1,6.0
CC(C)(Oc1ccc(Cl)cc1)C(=O)Nc1nc(-c2ccccc2)n[nH]1,5.06
O[C@H]1CC[C@H](Nc2ncc(-c3ccc4ccccc4c3)c(-c3ccccc3)n2)CC1,5.86
Cc1ccc2c(O)c(CC(=O)NCc3ccccc3)cnc2n1,6.06
